"Compound"	"Reactions of compounds"
CPD-4442	RXN-4541 // TRANS-RXN-205 // RXN-4542
CPD-11552	RXN-10722 // RXN-10721
CPD-17197	RXN-15962 // RXN-15965 // RXN-15961
CPD0-1669	""
CPD-16742	RXN-15500 // RXN-15499
CPD-14155	RXN-13165 // RXN-13146
CPD-14997	RXN-13957
DE-O-GLUCONATE	KDUD-RXN // RXN-18513
CPD-10240	RXN-9608 // RXN-9607
CPD-17925	""
CPD-10163	RXN-9481 // RXN-9482 // RXN-9480
OXONIUM	""
CPD1UA-45	RXN1UA-51 // RXN1UA-63
CPD-19930	RXN-18635 // RXN-18636
CPD-2750	RXN66-162 // RXN66-161
10-DEOXYSARPAGINE	1.14.13.91-RXN // 1.1.1.273-RXN
CPD-17194	RXN-15957 // RXN-15956
CPD-628	OXALOMALATE-LYASE-RXN
CPD-16738	RXN-15496 // RXN-15497
ACTINOMYCINIC-MONOLACTONE	ACTINOMYCIN-LACTONASE-RXN
CPD-12874	RXN-15417 // RXN-17694 // RXN-17691
CPD-9162	""
CPD-10237	RXN-9611 // RXN-9610
PROPIONYL-P	PTAALT-RXN // PROPKIN-RXN
CPD1UA-41	RXN1UA-50 // RXN1UA-69
CPD-11435	""
CPD-17335	RXN-16086 // RXN-16085
CPD0-1643	RXN-18661 // RXN-18660
CPD-16963	RXN-15739
CPD-14102	RXN-13099 // RXN-13103
CPD-16732	""
D-GALACTOSAMINE-6-PHOSPHATE	RXN-13548 // 3.5.1.80-RXN
CPD-12847	RXN-11898
CPD-17747	RXN-16505 // RXN-16492
CPD-10174	RXN-9491 // RXN-9493
O-FORMAMINOACETOPHENONE	""
CPD1A0-6106	RXN1A0-6314 // RXN1A0-6312
CPD-19892	RXN-18617 // RXN-18618 // RXN-18616
CPD-17204	RXN-15964 // RXN-15960
1-ALKYL-2-ARACHIDONYL-SN-GLYCERO-3-PETH	2.3.1.147-RXN
CPD-16956	RXN-15955 // RXN-15735
CPD-6082	RXN-6382 // RXN-12332 // RXN-6381 // RXN-9015 // RXN-12089 // RXN-10464 // POLYAMINE-OXIDASE-RXN
CPD-16651	""
A-3-OXO-ACID	3-OXOACID-COA-TRANSFERASE-RXN
CPD-12207	RXN-11253 // RXN-11255
CPD-9052	""
CPD-10170	RXN-9488 // RXN-9490 // RXN-9487
CPD-1128	3.5.4.22-RXN // RXN-8003
CPD-17011	RXN-15785 // RXN-15784
CPD0-1609	""
CPD-17012	RXN-15786 // RXN-15788 // RXN-15785
CPD-14057	""
CPD-17013	RXN-15787 // RXN-15800 // RXN-15786
CYCLOHEX-13-DIENE-56-DIHYDROXY-1-CARBO	RXN-11054 // RXN-2401
CPD-17658	""
CPD-18850	RXN-17437
N2ACETYL-ALPHA-NP	""
CPD-18851	RXN-17438
CPD-19735	""
CPD-18852	RXN-17439
CPD-586	PENTANAMIDASE-RXN
CPD-18853	RXN-17440
7-METHYLXANTHINE	RXN-7598 // RXN-7600 // RXN-11521 // RXN-11518 // RXN-7597 // RXN-11516 // RXN-11517
CPD-18860	RXN-17446 // RXN-18415 // RXN-17457 // RXN-17443
CPD-901	R581-RXN
CPD-18861	RXN-17447 // RXN-17459 // RXN-18421 // RXN-17444
CPD-1118	TANNASE-RXN
CPD-18862	RXN-17448 // RXN-17458 // RXN-18417 // RXN-17445
CPD0-1575	""
CPD-18858	RXN-17442 // RXN-17456 // RXN-18419 // RXN-17441
CPD-13920	RXN-15428 // RXN-12879
CPDQT-264	""
CPD-18666	RXN-17253 // RXN-17252
CPD-17527	RXN-16712 // RXN-16279
CPD-7061	RXN-13940 // 3.1.1.82-RXN // RXN-13938 // RXN-17252 // RXN-7740 // RXN-7739 // RXN-8357
N-METHYLANILINE	DIMETHYLANILINE-N-OXIDE-ALDOLASE-RXN
CPD-7062	RXN-12686
CPD-19594	""
CPD-10296	3.1.1.82-RXN // RXN-13939 // RXN-13940
CPD-5702	""
CPD-15192	RXN-14294 // RXN-14322 // RXN-14293
6-METHOXYMELLEIN	6-HYDROXYMELLEIN-O-METHYLTRANSFERASE-RXN
CPD-12592	""
CPD-8919	RXN-8692 // RXN-8688
CPD-18604	RXN-17204 // RXN-17205
CPD-10890	""
CPD-15202	""
CPD0-1537	""
CPD-15193	RXN-14295 // RXN-14294
CPD-13867	RXN-12833
CPD-15190	RXN-14292 // RXN-14291
CPD66-65	RXN66-516
CPD-15203	""
CPD-17311	""
CPD-15194	RXN-14296 // RXN-14297 // RXN-14295
N-DESULFOHEPARIN	""
CPD-15191	RXN-14293 // RXN-14292
CPD-19536	""
CPD-12581	RXN-11623
CPD-5561	RXN-15695
CPD-15215	""
574-TRIHYDROXY-3-METHOXYFLAVONE	RXN-12616
CPD-15195	RXN-14298 // RXN-14296
CPD-8847	RXN-12293 // RXN-11911 // RXN-8620 // RXN-8619
CPD-1080	1.13.11.10-RXN // 1.3.1.18-RXN
CPD0-1496	""
CPD-13755	RXN-12748 // RXN-12747
CPD66-27	RXN66-351 // RXN66-350
CPD-16964	RXN-15741 // RXN-8124
N-ACETYL-L-24-DIAMINOBUTANOATE	R103-RXN // R102-RXN
CPD-348	HEXADECANOL-DEHYDROGENASE-RXN // RXN-17743
CPD-19440	""
CPD-15667	RXN-14774 // RXN-14773
CPD-5401	""
CPD-15637	RXN-14771 // RXN-14770
5-OH-2-4-DIOXOPENTANOATE	""
CPD-15690	RXN-14801 // RXN-14802
CPD-8783	""
CPD-15662	RXN-14791 // RXN-14792
CPD-10749	""
CPD-15566	RXN-14715 // RXN-14714
CPD0-1473	""
CPD-15687	RXN-14799 // RXN-14798
CPD-13655	RXN-13467 // RXN-12678
CPD-15659	RXN-14781 // RXN-14780
CPD0-939	RXN0-5294 // RXN-13611 // RXN-14363 // RXN-14379 // RXN0-5383 // TRANS-RXN-236 // RXN0-5127
CPD-15684	RXN-14796 // RXN-14795
CPD-16893	""
CPD-15656	RXN-14777 // RXN-14778
MORPHINONE	MORPHINE-6-DEHYDROGENASE-RXN // RXN-8151
CPD-15677	RXN-14789 // RXN-14788
CPD-19421	RXN-18123 // RXN-18128 // RXN-18142 // RXN-18127 // RXN-18122
CPD-15653	RXN-14772 // RXN-14773
CPD-5062	RXN-5321
CPD0-1158	RXN0-5390 // RXN-14714 // RXN0-5391
5-DEHYDROGLUCONATE	RXN-12109 // YIAE1-RXN // 1.1.1.264-RXN // RXN-12107 // L-IDONATE-2-DEHYDROGENASE-RXN // GLUCONATE-5-DEHYDROGENASE-RXN // RXN0-7101 // TRANS-RXN0-228 // RXN-14367
CPD-15668	RXN-14775 // RXN-14774
CPD-863	R542-RXN // R541-RXN
CPD-15650	RXN-14784
CPD-10666	""
CPD-15691	RXN-14803 // RXN-14802
CPD0-1431	""
CPD-15663	RXN-14794 // RXN-14793
CPD-13499	RXN-12531
CPD-15567	RXN-14716 // RXN-14715
CPD0-2624	""
CPD-15688	RXN-14800 // RXN-14799
CPD-16729	""
CPD-15660	RXN-14781
MESACONATE	RXN-12168 // METHYLASPARTATE-AMMONIA-LYASE-RXN // S-2-METHYLMALATE-DEHYDRATASE-RXN
CPD-12263	RXN-11304
CPD-19365	RXN-18073 // RXN-18072
CPD-15685	RXN-14797 // RXN-14796
CPD-4801	""
CPD-15657	RXN-14779 // RXN-14778
4S5S-45-DIHYDROXY-26-DIOXOHEXANOATE	RXN-13040 // RXN-12877
CPD-15678	RXN-14793 // RXN-14792
CPD-825	1.2.1.54-RXN // RXN-15646 // 4.1.1.75-RXN
CPD-15654	RXN-14776 // RXN-14775
CPD-10614	RXN-9864
CPD-15675	RXN-14786 // RXN-14785
CPD0-1396	""
CPD-15651	RXN-14785 // RXN-14784
CPD-13335	""
CPD-15692	RXN-14804 // RXN-14803
CPD0-2573	""
CPD-15666	RXN-14772 // RXN-14771
CPD-16552	""
CPD-15635	RXN-14770
LIPOAMIDE	RXN-18331 // RXN-18329
CPD-15689	RXN-14800 // RXN-14801
CPD-19274	RXN-17980 // RXN-17981
CPD-15661	RXN-14790 // RXN-14791 // RXN-14789
CPD-4587	RXN-9501 // RXN-9500
CPD-12265	RXN-11304
4-METHYLPENTANAL	RXN66-339 // 1.14.15.6-RXN
CPD-15686	RXN-14797 // RXN-14798
CPD-8001	RXN-8259
CPD-15658	RXN-14780 // RXN-14794 // RXN-14779
CPD-10559	""
CPD-15683	RXN-14795
CPD0-1325	""
CPD-15655	RXN-14777 // RXN-14776 // RXN-14790
CPD-13131	""
CPD-15676	RXN-14788 // RXN-14787
CPD0-2531	""
CPD-15652	RXN-14786 // RXN-14787
CPD-16448	RXN-15245 // RXN-15247
L-HISTIDINOL-P	HISTIDPHOS-RXN // HISTAMINOTRANS-RXN
CPD-19179	RXN-17809 // RXN-8340
CPD-4505	""
4-DIMETHYLAMINOPHENYLAZOXYBENZENE	1.6.6.12-RXN
CPD-788	C04718-C060066-AUTOTRANSFORMATION-RXN // 6-OXOCINEOLE-DEHYDROGENASE-RXN
CPD-10419	RXN-9732 // RXN-9731
CPD0-1248	""
CPD-13036	RXN-12080 // RXN-12079
CPD0-2483	RXN-14478 // RXN0-6941 // RXN0-6944 // RXN-14477
CPD-15955	RXN-15071
KDO-8P	KDO-8PPHOSPHAT-RXN // KDO-8PSYNTH-RXN
CPD-19059	RXN-17619 // RXN-17666 // RXN-17667 // RXN-17668
CPD-438	RXN-7612 // PINOSYLVIN-SYNTHASE-RXN
34-DIHYDROXYPHENYLACETYL-COA	RXN0-5065
CPD-7734	""
CPD-10226	RXN-9583 // RXN-9582
CPD0-1193	RXN0-5414 // TRANS-RXN0-275
CPD-12836	RXN-11849 // RXN-17711 // RXN-17705
CPD0-2383	""
CPD-15904	RXN-15017 // RXN-15018
ISO-PROPANOL	ISOPROPANOL-DEHYDROGENASE-NADP+-RXN // RXN-17620 // RXN-17571 // RXN-17568
CPD-19012	RXN-17610 // RXN-17615 // RXN-17614 // RXN-17611
CPD-4208	RXN-4681 // RXN-4318 // RXN-4316 // TRANS-RXN-204
3-OXO-6-ACETAMIDOHEXANOATE	2.6.1.65-RXN
CPD-7668	""
CPD-10146	""
CPD0-1119	""
CPD-19820	RXN-18488 // RXN-18486
CPD-12772	RXN-11798 // RXN-11800 // RXN-12324 // RXN-11789
CPD-19812	RXN-18487 // RXN-18480
CPD0-2340	RXN0-6461 // RXN-12894 // RXN0-6460
CPD-19811	RXN-18480 // RXN-18479
CPD-15781	RXN-14860
CPD-19819	RXN-18486 // RXN-18485
INDOLE-3-ACETYL-ASP	RXN-3184 // RXN-9074 // RXN-2946
CPD-19806	RXN-18473
CPD-18974	RXN-17561 // RXN-17560
CPD-407	D-ALANINE-GAMMA-GLUTAMYLTRANSFERASE-RXN
3-KETO-L-GULONATE	DEHYDRO-L-GULONATE-DECARBOXYLASE-RXN // RXN0-704 // RXN0-703 // 3-DEHYDRO-L-GULONATE-2-DEHYDROGENASE-RXN // L-GULONATE-3-DEHYDROGENASE-RXN
CPD-7643	RXN-8119 // RXN-15946
CPD-10097	""
CPD0-1053	""
CPD-12618	""
CPD0-2279	""
XANTHINE	R127-RXN // RXN-7602 // RXN0-901 // RXN-15841 // XANTHINE-OXIDASE-RXN // XANTHOSINEPHOSPHORY-RXN // XANPRIBOSYLTRAN-RXN // RXN-11546 // TRANS-RXN0-561 // RXN-5076 // RXN0-6708 // GUANINE-DEAMINASE-RXN // RXN0-363 // RXN-13109 // RXN-13111 // RXN-11518 // TRANS-RXN-206 // RXN-7682
CPD-15508	RXN-15234
HYDROXYMALONATE	HYDROXYMALONATE-DEHYDROGENASE-RXN // 2.3.1.106-RXN
CPD-18789	RXN-17380 // RXN-17379
CPD-385	CATECHOL-OXIDASE-RXN
3-HYDROXY-2-METHYL-3-PHYTYL-23-DIHYDRONA	1.1.4.2-RXN
CPD-7417	RXN-8036 // RXN-8035
CPD-10076	RXN-9445 // RXN-9444
CPD-9937	RXN-11506
CPD-19592	""
CPD-12520	""
ETHYLENE-CMPD	RXN-17580 // VCREDCHLOR-RXN // RXN-12539 // RXN-12538 // RXN-12535 // ETHYL-RXN
CPD0-2234	""
OBTUSIFOLIOL	RXN-13896 // 1.14.13.70-RXN // CYCLOEUCALENOL-CYCLOISOMERASE-RXN
UROCANATE	HISTIDINE-AMMONIA-LYASE-RXN // RXN-14236 // UROCANATE-HYDRATASE-RXN
CPD-19591	""
CPD0-2218	""
LANOSTEROL	RXN66-10 // RXN3O-130 // RXN-15132 // RXN66-303 // RXN-15133 // LANOSTEROL-SYNTHASE-RXN
UDP-N-ACETYL-D-GALACTOSAMINE-4-SULFATE	2.8.2.7-RXN
CPD-12852	RXN-11881 // RXN-11876
CPD-15376	""
CPD-8606	RXN-13707 // RXN66-11 // RXN66-10
HEXACHLOROETHANE	""
CPD-13744	RXN-12740
CPD-18748	RXN-17338 // RXN-17343
CPD-15506	RXN-14682 // RXN-14681
CPD-3629	RXN-3766 // RXN-3765
UROCORTISONE	""
2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE	RXN-15878 // RXN0-882 // RXN0-302
CPD-13749	""
CPD-7279	1.1.1.288-RXN // RXN-698 // RXN-7974 // RXN-7973
ANDROSTERONE	RXN-12742 // 1.1.1.209-RXN
CODEINONE	RXN-8150 // 1.1.1.247-RXN
CPD-13750	""
CPD-9799	RXN-9689
CALCITRIOL	RXN-9830 // RXN-18215 // CALCIDIOL-1-MONOOXYGENASE-RXN
CPD-12421	RXN-11448
19-HYDROXYTESTOSTERONE	RXN66-348 // RXN66-347
CPD0-2162	""
LIOTHYRONINE	THYROID-HORMONE-AMINOTRANSFERASE-RXN // RXN-10611 // RXN-10613 // RXN-10615 // RXN-12034 // RXN-10605 // THYROXINE-DEIODINASE-RXN // RXN-10609 // RXN-10607 // RXN-10474
TRICHLOROANISOLE	2.1.1.136-RXN
CPD-11588	""
CPD-15157	""
19-OXO-TESTOSTERONE	RXN66-349 // RXN66-348
GLUTATHIONYLSPERMIDINE	GSPAMID-RXN // 6.3.1.9-RXN // GSPSYN-RXN
CPD-19069	RXN-17647 // RXN-17646
CPD-18687	RXN-17285 // RXN-17286
CPD-15851	RXN-14942 // RXN-14943
CPD-3521	RXN-3642
CPD-15855	RXN-14945 // RXN-14944
23-DIHYDROGOSSYPETIN	TAXIFOLIN-8-MONOOXYGENASE-RXN
15-OXO-5811-CIS-13-TRANS-ICOSATETRAENO	RXN-14941 // 1.1.1.232-RXN
CPD-7229	1.10.99.2-RXN
CPD-706	RXN-4222 // RXN-707
CHLOROACETALDEHYDE	ALDXANAU-RXN // MOXXANAU-RXN
CPD-10539	RXN-9823
CPD-9667	RXN-17376 // RXN-9146 // RXN-9144
CPD-13679	RXN-12690
CPD-12313	RXN-685 // RXN-684
CPD-13887	RXN-12850 // RXN-12848
CPD0-2094	""
CPD-15606	""
TETRAHYDROTHIOPHENE	THTOREDUCT-RXN
CPD-286	CORTISONE-ALPHA-REDUCTASE-RXN
CPD-15125	RXN-14146
CPD-8507	""
FORMYCIN-A	""
CPD-10549	""
CPD-18547	RXN-17154 // RXN-17153
CPD-13692	RXN-12704 // RXN-12703
CPD-339	1.1.1.43-RXN // DEHYDOGLUCONOKINASE-RXN
CPD-13696	RXN-12707 // RXN-12706 // RXN-17402 // RXN-17403
CPD-7084	""
CPD-15438	RXN-14574 // RXN-14573
2-OXINDOLE-3-ACETYL-ASP	RXN-3185 // RXN-3201 // RXN-9097 // RXN-3184
CPD-16465	""
CAPSORUBIN	RXN-7946
CPD-323	RXN-12848 // RXN-17646 // RXN-17649 // RXN-17644 // RXN-12690 // CHOLESTENONE-5-ALPHA-REDUCTASE-RXN // CHOLESTEROL-OXIDASE-RXN // RXN-12694 // CHOLESTENONE-5-BETA-REDUCTASE-RXN
CPD-9625	""
CPD-8897	RXN-8651
CPD0-2066	""
CPD-1077	ESTRADIOL-6-BETA-MONOOXYGENASE-RXN
SUCCINYL-OH-CYCLOHEXADIENE-COOH	""
CPD-13699	RXN-12709 // RXN-12710
CPD-14884	""
CPD-15469	RXN-14633
ESTRONE-SULFATE	RXN-14263 // ESTRONE-SULFOTRANSFERASE-RXN
CPD-1836	6.2.1.29-RXN // RXN-13690 // 1.2.1.40-RXN
CPD-18454	""
CPD-351	ESTRADIOL-17-ALPHA-DEHYDROGENASE-RXN
CPD-3188	RXN66-170 // RXN66-169
11-DEOXY-CORTISOL	RXN66-357 // RXN66-356
CPD-7028	RXN-7689
CPD-1085	12-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN
2-HYDROXYMETHYL-3-ACETAMIDOMETHYLENE	3.5.1.66-RXN // 5-PYRIDOXATE-DIOXYGENASE-RXN
CPD-13738	""
BRIJ97	""
CPD-15472	RXN-14633
CPD-9595	""
CPD-417	CORTISOL-O-ACETYLTRANSFERASE-RXN
CPD0-2028	""
CORTOLONE	""
SINAPOYLTARTRONATE	2.3.1.106-RXN
CPD-12162	""
CPD-12135	RXN-11178 // RXN-11177
CPD-13743	RXN-12739
CPD-14697	RXN-13669 // RXN-18743
CPD-15505	RXN-14681 // RXN-14680
E-2-METHOXYCARBONYLMETHYLBUTENEDIOAT	2.1.1.145-RXN
CPD-19068	RXN-17648 // RXN-17647
CPD-184	RXN-2462 // METHYLGALLATE-RXN // RXN-11861 // 1.2.1.45-RXN // RXN-10426
CPD-696	RXN-13897 // RXN-11926 // RXN-4101 // RXN-4021
CPD-2841	""
CPD-10538	RXN-9826 // RXN-9823 // RXN-9822
CPD-6982	RXN-7633 // RXN-7632
CPD-12918	RXN-11948 // RXN-11947
2-DEHYDRO-3-DEOXY-D-FUCONATE	D-FUCONATE-HYDRATASE-RXN
CPD-13752	RXN-12744 // RXN-12745
BENZYLSUCCINATE	RXN-864 // RXN-863
CPD-15605	""
CPD-9521	RXN-17683 // RXN-9034 // RXN-9031
CPD-272	PROGESTERONE-11-ALPHA-MONOOXYGENASE-RXN
CPD0-1946	""
CPD-8481	""
S2O4	""
CPD-10541	""
CPD-12006	RXN-11063 // RXN-11042
CPD-13691	RXN-12703 // RXN-17645 // RXN-12702
CPD-14560	RXN-13596 // RXN-13585
CPD-13695	RXN-12706 // RXN-12780 // RXN-12705
DIMETHYLSUBERIMIDATE	""
CPD-15437	RXN-14573
CPD-1833	""
CPD-16464	""
CPD-26	R12-RXN // R10-RXN
CPD-293	PROGESTERONE-5-ALPHA-REDUCTASE-RXN // RXN66-570 // RXN66-567 // 1.1.1.278-RXN
2-AMINOMALONATE-SEMIALDEHYDE	RXN-16002 // RXN0-2201 // RXN-16007
CPD-8896	RXN-8651 // RXN-8650
CPD-6961	""
CPD-10553	""
ASPULVINONE-H	ASPULVINONE-DIMETHYLALLYLTRANSFERASE-RXN
CPD-13698	RXN-12708 // RXN-12709
CPD-9441	2.5.1.71-RXN
CPD-15440	RXN-14574
S-FORMYCINYLHOMOCYSTEINE	""
CPD-16857	""
CPD-11882	""
CPD-345	12-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN // 1.1.1.176-RXN
CPD-14451	""
PREGNANEDIOL	""
DIHYDROSANGUINARINE	1.5.3.12-RXN // 1.14.13.56-RXN // RXN-9276 // RXN-8181
CPD-1082	CHOLESTENONE-5-BETA-REDUCTASE-RXN
CPD-18273	RXN-16948 // RXN-16947
CPD-13737	RXN-12740
CPD-2343	RXN0-705 // RXN0-5214 // RXN0-704
CPD-15471	RXN-14634
17-O-ACETYLNORAJMALINE	1.3.1.73-RXN // RXN-8220 // RXN-8219
CPD-4101	2.1.1.143-RXN // RXN-11930 // RXN-4181 // RXN-4161
CPD-6882	RXN-7486 // RXN-7487 // RXN-7484
CORTOL	""
AMINOBUT-CPD	HYDROXYGLUTAMATE-DECARBOXYLASE-RXN
CPD-12159	RXN-16214
CPD-94	RXN-95 // RXN-10710
CPD-13742	RXN-12738
RISEDRONATE	""
CPD-15501	RXN-14675 // RXN-14674
CPD-11708	""
CPD-19067	RXN-17650 // RXN-17649 // RXN-17648
CPD0-1808	""
CPD-517	CORTISOL-SULFOTRANSFERASE-RXN
CPD-14366	RXN-13393
CPD-10537	RXN-9824 // RXN-9822 // RXN-9821 // RXN-9826
DIETHYLAMINE	RXN-13591 // RXN-13593
CPD-12916	RXN-11947 // RXN-11946
CPD-1821	2.5.1.44-RXN // 2.5.1.45-RXN
CPD-13751	RXN-12744 // RXN-12743
PHOSPHORAMIDATE	2.7.1.62-RXN // AMMONIA-KINASE-RXN
CPD-15552	""
CPD-20125	RXN-9566 // RXN-18820
CPD-266	1.1.1.181-RXN // CHOLESTEROL-7-ALPHA-MONOOXYGENASE-RXN
13-HYDROXYLUPININE	RXN-8694 // RXN-8693
CPD-7237	RXN-9794 // 1.14.13.95-RXN
CPD-6644	RXN-7143
CPD-10540	RXN-9824
ALPHA-N-ACETYLNEURAMINYL-28-ETCETERA	2.4.99.8-RXN
CPD-13689	RXN-12702 // RXN-12849 // RXN-17644
CPD-9336	""
CPD-13888	RXN-12849 // RXN-12850
QUINOLINE	1.3.99.17-RXN
CPD-15607	RXN-14743
CPD-11638	""
CPD-287	CORTISONE-BETA-REDUCTASE-RXN
CPD0-1694	""
CPD-8895	RXN-8650
CPD-14301	RXN-13324
CPD-10552	""
DEOXYLIMONATE	DEOXYLIMONATE-A-RING-LACTONASE-RXN
CPD-13694	RXN-12704 // RXN-12705
CPD-18064	RXN-16747 // RXN-16746
CPD-13697	RXN-12708 // RXN-12707
PAPS	CHOLINE-SULFOTRANSFERASE-RXN // FLAVONOL-3-SULFOTRANSFERASE-RXN // ESTRONE-SULFOTRANSFERASE-RXN // CORTISOL-SULFOTRANSFERASE-RXN // R163-RXN // RXN-701 // 2.8.2.26-RXN // 2.8.2.27-RXN // STEROID-SULFOTRANSFERASE-RXN // 2.8.2.7-RXN // 2.8.2.28-RXN // THIOL-SULFOTRANSFERASE-RXN // HEPARITIN-SULFOTRANSFERASE-RXN // 2.8.2.31-RXN // 2.8.2.32-RXN // 2.8.2.34-RXN // RXN6666-9 // RXN-10130 // RXN-10131 // RXN-10132 // RXN-10244 // RXN-10138 // RXN-10614 // RXN-10615 // RXN-10777 // RXN-10782 // RXN-10879 // RXN-10880 // RXN-7953 // RXN-11561 // RXN-7954 // RXN-11563 // RXN-11562 // RXN-11558 // RXN-11555 // CHONDROITIN-4-SULFOTRANSFERASE-RXN // ALCOHOL-SULFOTRANSFERASE-RXN // 2.8.2.30-RXN // 2.8.2.29-RXN // 2.8.2.23-RXN // ARYL-SULFOTRANSFERASE-RXN // TYROSINE-ESTER-SULFOTRANSFERASE-RXN // BILE-SALT-SULFOTRANSFERASE-RXN // RXN-8729 // RXN-14843 // RXN-15426 // RXN-15588 // RXN-15589 // RXN-15587 // PHOSPHOADENYLYLSULFATASE-RXN // 2.8.2.19-RXN // RXN-11559 // RXN-11560 // RXN-11058 // RXN-11059 // RXN-17203 // ARYLAMINE-SULFOTRANSFERASE-RXN // RXNQT-4331 // RXNQT-4332 // RXNQT-4329 // RXNQT-4333 // RXNQT-4330 // RXN-2209 // RXN-4606 // RXN-1443 // RXN-10878 // RXN-10873 // RXN-10869 // RXN-10868 // RXN-10874 // RXN-18262 // KERATAN-SULFOTRANSFERASE-RXN // CHONDROITIN-6-SULFOTRANSFERASE-RXN // RXN-18301 // RXN-18303 // GALACTOSYLCERAMIDE-SULFOTRANSFERASE-RXN // PROTEIN-TYROSINE-SULFOTRANSFERASE-RXN // RXN-10875 // RXN-10876 // RXN-10453 // RXN-10451 // PSYCHOSINE-SULFOTRANSFERASE-RXN // RXN-18179 // RXN-16854 // RXN-18762 // RENILLA-LUCIFERIN-SULFOTRANSFERASE-RXN // 1.8.4.8-RXN // ADENYLYLSULFKIN-RXN
CPD-15439	""
CPD-20009	RXN-18721
CPD-16856	""
12-BIS-O-SINAPOYL-BETA-D-GLUCOSIDE	2.3.1.103-RXN
CPD-331	RXN-14683 // RXN-14743 // RXN-14682 // ECDYSONE-OXIDASE-RXN
CPD-641	DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN // PHOSPHOMEVALONATE-KINASE-RXN
CYCLOARTENOL	2.1.1.142-RXN // RXN-4021 // RXN-11946 // RXN-4282 // RXN-11875 // CYCLOARTENOL-SYNTHASE-RXN
ALLYSINE	RXN-16758 // RXN-16756 // RXN-8173 // 1.2.1.31-RXN // ALLYSINE-DEHYDROG-RXN // RXN-14930 // RXN-8808 // 1.4.3.20-RXN // RXN-13609 // L-LYSINE-AMINOTRANSFERASE-RXN // 1.5.1.9-RXN // RXN-10744 // RXN3O-127 // LYSINE--PYRUVATE-6-AMINOTRANSFERASE-RXN
CPD-1081	CHOLESTENONE-5-ALPHA-REDUCTASE-RXN
CPD-923	R604-RXN // R603-RXN
CPD-13700	RXN-12743 // RXN-12710 // RXN-12738 // RXN-12741
PYRROLINE-HYDROXY-CARBOXYLATE	HYDROXYPYRROLINEDEH-RXN // RXN-14471 // RXN66-541 // RXN66-545 // RXN66-546 // HYDROXYPRODEHYDROG-RXN
CPD-15470	RXN-14634
CPD-11538	""
CPD-4081	RXN-4161 // RXN-4144
CPD0-1664	""
CORTISONE	CORTISONE-ALPHA-REDUCTASE-RXN // RXN-12085 // CORTISONE-BETA-REDUCTASE-RXN
CPD-14149	RXN-13157 // RXN-13154
CPD-1087	RXN-9840 // 1.14.13.95-RXN // 1.1.1.181-RXN
D1-PIPERIDINE-DICARBOXYLATE	""
CPD-13739	RXN-12739 // RXN-12741
CPD-17870	RXN-16577 // RXN-17974 // RXN-17973 // RXN-16576
CPD-15500	RXN-14676 // RXN-14680 // RXN-14675
OXIDIZED-DITHIOTHREITOL	1.1.4.1-RXN // 1.1.4.2-RXN
CPD-19066	RXN-17650 // RXN-17645
CPD-19926	RXN-18632 // RXN-18633
CPD-51	FUCOSTEROL-EPOXIDE-LYASE-RXN
10-BETA-HYDROXYTAXA-42011-DIEN-5-ALPH	RXN-8865 // RXN-8855 // 1.14.13.76-RXN
CPD-10536	RXN-9821
CPD-62	RXN0-6442 // RXN-10991 // DHBAMPLIG-RXN
CPD-12850	RXN-11876 // RXN-11875
ACIFLUORFEN	""
CPD-15680	""
CPD-9159	RXN-8824 // RXN-17165
CPD-17126	""
PROCLAVAMINATE	RXN-6266 // 3.5.3.22-RXN
CPD-18488	""
CPD-11406	RXN-12050 // RXN-12049 // RXN-10613
PHTYOSPHINGOSINE-1-P	RXN3O-504 // RXN-13729 // RXN3O-458
CPD0-1633	""
CPD-13613	RXN-12645
CPD-14095	""
CPD-649	SPHINGANINE-1-PHOSPHATE-ALDOLASE-RXN // DHS-PHOSPHATASE-RXN // SPHINGANINE-KINASE-RXN
D-ERYTHRITOL-4P	ERYTHRITOL-KINASE-RXN
CPD-13612	3-DEHYDROSPHINGANINE-REDUCTASE-RXN // RXN3O-1380 // SPHINGANINE-KINASE-RXN // RXN-7792 // RXN-13733 // DHS-PHOSPHATASE-RXN
CPD-17730	RXN-16503 // RXN-16497
CPD3DJ-11366	RXN3DJ-25 // RXN3DJ-11230 // RXN3DJ-11417
O-14-ALPHA-L-DIHYDROSTREPTOSYL-STREPTID	RXN-9470 // 2.4.2.27-RXN
CPD-17588	""
CPD-19781	RXN-10246 // RXN-10245
CPD-10693	""
1-5-PHOSPHORIBOSYLIMIDAZOLE-4-ACETATE	6.3.4.8-RXN
CPD-18644	""
CPD-605	RIBOFLAVINASE-RXN
CPD-18759	""
911-ALPHA-EPOXYPREGN-4-ENE-320-DIONE	STEROID-9-ALPHA-MONOOXYGENASE-RXN
CPD-18747	""
CPD-9030	""
CPD-9049	RXN-8769 // RXN-14256 // RXN-8768
CPD-11249	""
CPD-14709	""
CPD0-1604	""
13-HYDROXY-MAGNESIUM-PROTOPORP	RXN-5283 // RXN-8798 // RXN-8797 // RXN-5282
CPD-14015	RXN-12976 // RXN-12975
