"Compound"	"Reactions of compounds"
CPD-18849	RXN-17436 // RXN-17437 // RXN-17441
ALPHA-NAPHTHYL-ACETATE	""
CPD-18845	RXN-17433 // RXN-17440 // RXN-17445
CPD-9357	""
CPD-18846	RXN-17434 // RXN-17439 // RXN-17444
R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE	P-PANTOCYSDECARB-RXN // RXN-18355 // RXN66-555 // P-PANTOCYSLIG-RXN
CPD-17066	""
CPD-11660	""
CPD-17059	RXN-15807
CPD0-1708	""
CPD-19770	RXN-17462 // RXN-18420
CPD-14318	RXN-13345
CPD-19767	RXN-17461 // RXN-18414
DEOXYRIBONOLACTONE	1.14.11.10-RXN
CPD-19768	RXN-17463 // RXN-18416
CPD-18074	RXN-16755 // RXN-16754
CPD-19769	RXN-17460 // RXN-18418
PENTAHYDROXYCYCLOHEXANONE	SEQUOYITOL-DEHYDROGENASE-RXN // D-PINITOL-DEHYDROGENASE-RXN
CPD-9875	RXN-9244 // RXN-9246 // RXN-9245
CPD-20021	""
CPD-17200	RXN-15963 // RXN-15962
12-D-GLUCOSYL-5-D-GALACTOSYLOXY-L-LYS	3.2.1.107-RXN // PROCOLLAGEN-GLUCOSYLTRANSFERASE-RXN
CPD-16752	""
CPD-65	RXN-12026 // THIOCYANATE-ISOMERASE-RXN
CPD-16633	RXN-15400
ALPHA-ANDROSTAN-3BETA17BETA-DIOL	1.1.1.210-RXN
CPD-10243	RXN-9607 // RXN-9606
CPD-924	R605-RXN // R604-RXN
CPD-10166	RXN-9485 // RXN-9483 // RXN-9484
QUERCETIN-34-BISSULFATE	RXN-10130 // 2.8.2.27-RXN
